0.894,0.63,,/Users/lordvile/Documents/Music/Songs/Cash Cash - How To Love ft Sofia Reyes (Official Video).mp3,,,,,,,,,
0.796,0.491,,/Users/lordvile/Documents/Music/Songs/Dua Lipa - Blow Your Mind (Mwah).mp3,,,,,,,,,
0.593,0.341,,/Users/lordvile/Documents/Music/Songs/Jack's Mannequin - Hammers and Strings (A Lullaby) Lyrics.mp3,,,,,,,,,
0.525,0.405,,/Users/lordvile/Documents/Music/Songs/Don't Tell 'Em (feat. YG).mp3,,,,,,,,,
0.662,0.365,,/Users/lordvile/Documents/Music/Songs/Whethan - Savage (feat. Flux Pavilion & MAX).mp3,,,,,,,,,
0.858,0.805,,/Users/lordvile/Documents/Music/Songs/last night changed it all.mp3,,,,,,,,,
0.903,0.477,,/Users/lordvile/Documents/Music/Songs/Cash Cash - Take Me Home (ft. Bebe Rexha).mp3,,,,,,,,,
0.753,0.411,,/Users/lordvile/Documents/Music/Songs/NERVO & Wolfpack   Like Air (Official Lyric Video).mp3,,,,,,,,,
0.721,0.356,,/Users/lordvile/Documents/Music/Songs/David Guetta feat. Emeli Sande - What I Did For Love (Extended Mix).mp3,,,,,,,,,
0.831,0.376,,/Users/lordvile/Documents/Music/Songs/In My Mind (Axwell Remix).mp3,,,,,,,,,
0.871,0.0375,,/Users/lordvile/Documents/Music/Songs/DVBBS & Jay Hardway - Voodoo (Original Mix) [Official].mp3,,,,,,,,,
0.703,0.0715,,/Users/lordvile/Documents/Music/Songs/Krale - Frontier (ft. Jasmina Lin & Jay Christopher) [NCS.mp3,,,,,,,,,
0.839,0.516,,/Users/lordvile/Documents/Music/Songs/Alesso - Sweet Escape ft. Sirena.mp3,,,,,,,,,
0.86,0.437,,/Users/lordvile/Documents/Music/Songs/Flo-Rida Ft. Sia - Wild Ones.mp3,,,,,,,,,
0.796,0.392,,/Users/lordvile/Documents/Music/Songs/DEMONS AT THE DOOR by Sleeping Wolf  Youre Not You Film Trailer  Official.mp3,,,,,,,,,
0.557,0.287,,/Users/lordvile/Documents/Music/Songs/Ed Sheeran - All Of The Stars [Official Video].mp3,,,,,,,,,
0.948,0.102,,/Users/lordvile/Documents/Music/Songs/Seconds To Mars - Edge Of The Earth.mp3,,,,,,,,,
0.816,0.816,,/Users/lordvile/Documents/Music/Songs/Luis Fonsi - Despacito ft. Daddy Yankee.mp3,,,,,,,,,
0.859,0.382,,/Users/lordvile/Documents/Music/Songs/pendulum-set_me_on_fire.mp3,,,,,,,,,
0.896,0.711,,/Users/lordvile/Documents/Music/Songs/New Radicals - You Get What You Give with lyrics.mp3,,,,,,,,,
0.785,0.316,,/Users/lordvile/Documents/Music/Songs/Something Corporate-I Wont Make You (lyrics).mp3,,,,,,,,,
0.68,0.76,,/Users/lordvile/Documents/Music/Songs/Nico & Vinz - Am I Wrong.mp3,,,,,,,,,
0.818,0.594,,/Users/lordvile/Documents/Music/Songs/John Dahlback feat. Alexx Mack - Count To Ten (Official Music Video).mp3,,,,,,,,,
0.638,0.574,,/Users/lordvile/Documents/Music/Songs/Kat Dahlia - I Think I'm In Love (Lyrics).mp3,,,,,,,,,
0.672,0.382,,/Users/lordvile/Documents/Music/Songs/G-Eazy Feat. Bebe Rexha - Me,,,,,,,,,
0.855,0.648,,/Users/lordvile/Documents/Music/Songs/Pitbull - International Love (feat. Chris Brown).mp3,,,,,,,,,
0.823,0.418,,/Users/lordvile/Documents/Music/Songs/Calvin Harris - Outside (2014) feat. Ellie Goulding.mp3,,,,,,,,,
0.713,0.69,,/Users/lordvile/Documents/Music/Songs/Mike Posner - In Ibiza (SeeB Remix) (Clean)(musicbolt.com).mp3,,,,,,,,,
0.706,0.144,,/Users/lordvile/Documents/Music/Songs/Alicia Keys - Girl On Fire.mp3,,,,,,,,,
0.758,0.542,,/Users/lordvile/Documents/Music/Songs/Feel This Moment (Ft. Christina Aguilera).mp3,,,,,,,,,
0.923,0.224,,/Users/lordvile/Documents/Music/Songs/Disco Killerz & Liquid Todd feat. Jimmy Gnecco - Stellar (Morgen Page Remix).mp3,,,,,,,,,
0.488,0.51,,/Users/lordvile/Documents/Music/Songs/Queen - We Will Rock You.mp3,,,,,,,,,
0.902,0.521,,/Users/lordvile/Documents/Music/Songs/American Authors - Best Day of My Life.mp3,,,,,,,,,
0.833,0.0733,,/Users/lordvile/Documents/Music/Songs/HEX - Tommy Trash & Wax Motif.mp3,,,,,,,,,
0.442,0.277,,/Users/lordvile/Documents/Music/Songs/Where is My Mind-' by Telepathic Teddy Bear.mp3,,,,,,,,,
0.836,0.664,,/Users/lordvile/Documents/Music/Songs/Pitbull Feat Danny Mercer - Outta Nowhere.mp3,,,,,,,,,
0.957,0.419,,/Users/lordvile/Documents/Music/Songs/Woodkid - Run Boy Run (Official HD Video).mp3,,,,,,,,,
0.431,0.86,,/Users/lordvile/Documents/Music/Songs/Niall Horan - Slow Hands (Audio).mp3,,,,,,,,,
0.658,0.456,,/Users/lordvile/Documents/Music/Songs/Come Together_ - Justice League Music Video.mp3,,,,,,,,,
0.81,0.824,,/Users/lordvile/Documents/Music/Songs/Can't Remember To Forget You (feat. Rihanna).mp3,,,,,,,,,
0.821,0.791,,/Users/lordvile/Documents/Music/Songs/Capital Cities - Safe and Sound .mp3,,,,,,,,,
0.47,0.42,,/Users/lordvile/Documents/Music/Songs/Awolnation - Sail (Unlimited Gravity Dubstep Remix).mp3,,,,,,,,,
0.664,0.446,,/Users/lordvile/Documents/Music/Songs/Above Waves - Simple Things - Official Music Video.mp3,,,,,,,,,
0.872,0.677,,/Users/lordvile/Documents/Music/Songs/Far East Movement - Turn Up The Love ft. Cover Drive.mp3,,,,,,,,,
0.164,0.0361,,/Users/lordvile/Documents/Music/Songs/Civil Twilight -The Courage or the Fall (lyrics in the description).mp3,,,,,,,,,
0.847,0.444,,/Users/lordvile/Documents/Music/Songs/Rihanna - Where Have You Been.mp3,,,,,,,,,
0.414,0.728,,/Users/lordvile/Documents/Music/Songs/Selena Gomez - Bad Liar (Audio).mp3,,,,,,,,,
0.715,0.495,,/Users/lordvile/Documents/Music/Songs/Ghost in The System - Pleasure St.mp3,,,,,,,,,
0.795,0.589,,/Users/lordvile/Documents/Music/Songs/Chris Brown feat. Benny Benassi - Beautiful People.mp3,,,,,,,,,
0.106,0.0342,,/Users/lordvile/Documents/Music/Songs/Alev Lenz  - Fall Into Me.mp3,,,,,,,,,
0.884,0.0706,,/Users/lordvile/Documents/Music/Songs/Hyper Love - Ferry Corsten (ft Nat Dunn) [MUSIC VIDEO] Radio Edit.mp3,,,,,,,,,
0.844,0.941,,/Users/lordvile/Documents/Music/Songs/Enrique Iglesias & Sean Paul & Matt Terry  - Subeme La Radio _English Version_.mp3,,,,,,,,,
0.886,0.78,,/Users/lordvile/Documents/Music/Songs/Lilly Wood & The Prick and Robin Schulz - Prayer In C.mp3,,,,,,,,,
0.949,0.65,,/Users/lordvile/Documents/Music/Songs/Green Day - Give Me Novacaine.mp3,,,,,,,,,
0.318,0.677,,/Users/lordvile/Documents/Music/Songs/George Strait - All my ex's live in Texas (Lyrics).mp3,,,,,,,,,
0.834,0.471,,/Users/lordvile/Documents/Music/Songs/Ed Sheeran - Castle On The Hill.mp3,,,,,,,,,
0.519,0.168,,/Users/lordvile/Documents/Music/Songs/Martin Garrix,,,,,,,,,
0.782,0.827,,/Users/lordvile/Documents/Music/Songs/Macklemore & Ryan Lewis - White Walls.mp3,,,,,,,,,
0.312,0.402,,/Users/lordvile/Documents/Music/Songs/World Spins Madly On - The Weepies (w_lyrics).mp3,,,,,,,,,
0.946,0.534,,/Users/lordvile/Documents/Music/Songs/Honey,,,,,,,,,
0.476,0.139,,/Users/lordvile/Documents/Music/Songs/In the Summertime (Stinson Beach Sessions).mp3,,,,,,,,,
0.908,0.434,,/Users/lordvile/Documents/Music/Songs/Jack's Mannequin - The Mixed Tape [Official Music Video].mp3,,,,,,,,,
0.682,0.474,,/Users/lordvile/Documents/Music/Songs/Green Day - Boulevard Of Broken Dreams.mp3,,,,,,,,,
0.835,0.88,,/Users/lordvile/Documents/Music/Songs/Fort Minor Feat. Styles of Beyond - Remember The Name.mp3,,,,,,,,,
0.743,0.361,,/Users/lordvile/Documents/Music/Songs/How To Save A Life.mp3,,,,,,,,,
0.609,0.304,,/Users/lordvile/Documents/Music/Songs/Flo Rida - Low (feat. T-Pain).mp3,,,,,,,,,
0.724,0.433,,/Users/lordvile/Documents/Music/Songs/Sebastian Ingrosso,,,,,,,,,
0.858,0.23,,/Users/lordvile/Documents/Music/Songs/Rudimental - Sun Comes Up feat. James Arthur [Official Audio].mp3,,,,,,,,,
0.557,0.494,,/Users/lordvile/Documents/Music/Songs/James Arthur - Say You Won't Let Go.mp3,,,,,,,,,
0.909,0.814,,/Users/lordvile/Documents/Music/Songs/Green Day - When I Come Around.mp3,,,,,,,,,
0.712,0.346,,/Users/lordvile/Documents/Music/Songs/Here I Stand feat. Cimo Frankel (.mp3,,,,,,,,,
0.662,0.438,,/Users/lordvile/Documents/Music/Songs/Kygo Feat. Parson James - Now That's What I Call Music 91 - 16 - Stole The Show .mp3,,,,,,,,,
0.899,0.629,,/Users/lordvile/Documents/Music/Songs/Taio_Cruz_-_Break_Your_Heart.mp3,,,,,,,,,
0.982,0.397,,/Users/lordvile/Documents/Music/Songs/Kaiser Chiefs - I Predict A Riot.mp3,,,,,,,,,
0.744,0.605,,/Users/lordvile/Documents/Music/Songs/Don Diablo ft. A R I Z O N A   Take Her Place (Off.mp3,,,,,,,,,
0.636,0.272,,/Users/lordvile/Documents/Music/Songs/Honey,,,,,,,,,
0.831,0.378,,/Users/lordvile/Documents/Music/Songs/Wish You Were Mine (Radio Edit).mp3,,,,,,,,,
0.246,0.0573,,/Users/lordvile/Documents/Music/Songs/Requiem For A Dream Full Song HD.mp3,,,,,,,,,
0.975,0.452,,/Users/lordvile/Documents/Music/Songs/Martin Solveig Feat Dragonette - Hello.mp3,,,,,,,,,
0.857,0.748,,/Users/lordvile/Documents/Music/Songs/Cobra Starship - You Make Me Feel...(feat. Sabi).mp3,,,,,,,,,
0.867,0.869,,/Users/lordvile/Documents/Music/Songs/J Balvin BONITA feat. Jowell & Randy.mp3,,,,,,,,,
0.472,0.135,,/Users/lordvile/Documents/Music/Songs/Explosions in the Sky - The Ecstatics.mp3,,,,,,,,,
0.54,0.154,,/Users/lordvile/Documents/Music/Songs/Above  Beyond feat. Zoe╠ê Johnston Peace Of Mind (Official Lyric Video).mp3,,,,,,,,,
0.839,0.756,,/Users/lordvile/Documents/Music/Songs/Machine.Gun.Kelly.Ft.Hailee.Steinfeld.At.My.Best-TDG.mp3,,,,,,,,,
0.622,0.544,,/Users/lordvile/Documents/Music/Songs/Zedd Alessia Cara - Stay (Lyric Video).mp3,,,,,,,,,
0.906,0.674,,/Users/lordvile/Documents/Music/Songs/Galantis & Hook N Sling - Love On Me (Official Video).mp3,,,,,,,,,
0.838,0.646,,/Users/lordvile/Documents/Music/Songs/Gym class heroes Ass back home.mp3,,,,,,,,,
0.911,0.619,,/Users/lordvile/Documents/Music/Songs/Destiny's Child - Survivor (Official Video) ft. Da Brat.mp3,,,,,,,,,
0.912,0.302,,/Users/lordvile/Documents/Music/Songs/Thirty Seconds To Mars - Love Is Madness (Lyrics) ft. Halsey.mp3,,,,,,,,,
0.409,0.187,,/Users/lordvile/Documents/Music/Songs/J Cole - Deja Vu Lyrics (Official Lyrics).mp3,,,,,,,,,
0.407,0.161,,/Users/lordvile/Documents/Music/Songs/Christina Perri - A Thousand Years.mp3,,,,,,,,,
0.763,0.742,,/Users/lordvile/Documents/Music/Songs/Clean Bandit - Rockabye ft. Sean Paul & Anne-Marie [Official Video].mp3,,,,,,,,,
0.681,0.745,,/Users/lordvile/Documents/Music/Songs/Rusted Root - Send Me On My Way.mp3,,,,,,,,,
0.782,0.393,,/Users/lordvile/Documents/Music/Songs/Ground Control (feat. Tegan and Sara).mp3,,,,,,,,,
0.915,0.789,,/Users/lordvile/Documents/Music/Songs/Pit.bull - Back In Time.mp3,,,,,,,,,
0.98,0.478,,/Users/lordvile/Documents/Music/Songs/LOST IN THE ECHO (Instrumental) (Mp3Goo.com).mp3,,,,,,,,,
